name,location,cuisines,michelin_stars,average_price
Thackeray's,"85 London Road, Tunbridge Wells, Tunbridge Wells, Kent, TN1 1EA",Modern European,None,£50 - £79
The Lighthouse - Aldeburgh,"77 High Street, Aldeburgh, Suffolk, IP15 5AU",Modern European,None,£30 - £49
Cin Cin Brighton,"13-16 Vine Street, Brighton, East Sussex, BN1 4AG",Italian,None,£30 - £49
The French Horn - Reading,"Sonning-On-Thames, Reading, Berkshire, RG4 6TN",French,None,£50 - £79
The Hind's Head,"High Street, Maidenhead, Berkshire, SL6 2AB",British,None,£30 - £49
Caldesi in Campagna,"Old Mill Lane, Bray, Maidenhead, Berkshire, SL6 2BG",Italian,None,£30 - £49
Gidleigh Park,"Gidleigh Park, Chagford, North Tawton, Devon, TQ13 8HH",Modern European,None,Over £80
Two Fat Ladies at The Buttery,"652-654 Argyle Street, Glasgow, Glasgow, G3 8UF",Scottish,None,£30 - £49
The Whitebrook,"Whitebrook, Monmouth, South Wales, NP25 4TX",Modern European,None,£50 - £79
The Peat Inn,"Peat Inn Hamlet, near St Andrews , Fife, KY15 5LH",Modern European,None,£50 - £79
